image,mask_type,method,psnr,ssim,rmse,mae,psnr_missing,rmse_missing,mae_missing,runtime,status,ae_weight,lambda_dct,lambda_wavelet,lambda_tv,lambda_ae,patch_size,stride,latent_dim
cameraman,random10,corrupted,14.544881914481895,0.37086935613867655,0.18739409744739532,0.05244093015789986,4.664103047240289,0.5845139057897203,0.5102091431617737,0.0,ok,,,,,,,,
cameraman,random10,dct,35.202004338925846,0.947790836559464,0.01737399958074093,0.0038353465497493744,25.32122562599684,0.05419244165406854,0.03731491416692734,1.7620983123779297,ok,,0.01,,,,8.0,4.0,16.0
cameraman,random10,wavelet,31.891215455124488,0.9689626033362567,0.025435438379645348,0.0036582513712346554,22.010437042597232,0.07933743360415058,0.03559191897511482,0.4449625015258789,ok,,,0.01,,,8.0,4.0,16.0
cameraman,random10,tv,36.5857739909375,0.9874212194901901,0.01481532957404852,0.002231966471299529,26.704995085075986,0.04621151915705744,0.021715283393859863,0.3772876262664795,ok,,,,0.01,,8.0,4.0,16.0
cameraman,random10,ae_only,35.1829863064673,0.9803768285069373,0.017412081360816956,0.0029412880539894104,25.30220781723751,0.05431122633065587,0.02861642651259899,1.0961244106292725,ok,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
cameraman,random10,tv_ae,36.670874895549225,0.9874570404680721,0.014670883305370808,0.0022320770658552647,26.79009633815958,0.045760965935363544,0.02171636000275612,1.0811426639556885,ok,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
cameraman,random30,corrupted,10.012390123545583,0.23273924867902301,0.3157769739627838,0.14932909607887268,4.701363555958048,0.5820118433641988,0.5072792768478394,0.0,ok,,,,,,,,
cameraman,random30,dct,28.993697655064036,0.8259450066232119,0.035507094115018845,0.013243209570646286,23.682671047314578,0.06544348941247802,0.04498792067170143,0.38117027282714844,ok,,0.01,,,,8.0,4.0,16.0
cameraman,random30,wavelet,26.46762416791286,0.8854711885051314,0.04749181866645813,0.011519729159772396,21.156597187329027,0.08753266289012285,0.039133161306381226,0.44037437438964844,ok,,,0.01,,,8.0,4.0,16.0
cameraman,random30,tv,30.619682310640016,0.9584818569178929,0.029445292428135872,0.00699938740581274,25.30865559278225,0.05427092456916736,0.0237773098051548,0.3804306983947754,ok,,,,0.01,,8.0,4.0,16.0
cameraman,random30,ae_only,29.994851135859303,0.941997675889654,0.03164152801036835,0.008794309571385384,24.683824202597627,0.05831882830070723,0.029874760657548904,1.077775478363037,ok,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
cameraman,random30,tv_ae,30.74670022069641,0.958822208592101,0.02901783399283886,0.006995720323175192,25.435673784897205,0.05348306782808162,0.023764852434396744,1.1419236660003662,ok,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
cameraman,random50,corrupted,7.699632482770685,0.14685970274539578,0.4121149480342865,0.25407665967941284,4.674462764731859,0.58381716780843,0.5098960995674133,0.0,ok,,,,,,,,
cameraman,random50,dct,24.947922227699802,0.6584489278426044,0.05657230690121651,0.02710958570241928,21.92275254137605,0.0801424053432826,0.054405126720666885,0.36632776260375977,ok,,0.01,,,,8.0,4.0,16.0
cameraman,random50,wavelet,21.420800121004717,0.5931389073559145,0.08491022139787674,0.029409335926175117,18.39563089366688,0.12028693401264363,0.059020400047302246,0.4679837226867676,ok,,,0.01,,,8.0,4.0,16.0
cameraman,random50,tv,27.104033480375872,0.907254553717768,0.044136546552181244,0.013568896800279617,24.078864033982708,0.06252544600332641,0.027230868116021156,0.37706828117370605,ok,,,,0.01,,8.0,4.0,16.0
cameraman,random50,ae_only,26.858400352457814,0.8811722905074717,0.04540251940488815,0.016184713691473007,23.833231244563386,0.0643188747334274,0.03248044475913048,1.119079351425171,ok,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
cameraman,random50,tv_ae,27.309774664227284,0.9083726240132839,0.04310337454080582,0.013453010469675064,24.284604981109737,0.06106182088139958,0.026998300105333328,1.1397337913513184,ok,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
cameraman,irregular,corrupted,20.046169760262927,0.9248574040124047,0.099469855427742,0.016220513731241226,5.3213614369362645,0.54191594317851,0.4814436435699463,0.0,ok,,,,,,,,
cameraman,irregular,dct,33.155141360044176,0.9617705962868796,0.02199089713394642,0.002946476684883237,18.4303323314129,0.11980732827499108,0.08745484054088593,0.371295690536499,ok,,0.01,,,,8.0,4.0,16.0
cameraman,irregular,wavelet,27.59334139563765,0.9504804660106686,0.04171890765428543,0.005806799046695232,12.868532916448565,0.2272863499124181,0.17235252261161804,0.45281410217285156,ok,,,0.01,,,8.0,4.0,16.0
cameraman,irregular,tv,32.8920508007615,0.9816774534033018,0.02266717702150345,0.0019305712776258588,18.1672429000229,0.12349172439338736,0.0573015920817852,0.37710142135620117,ok,,,,0.01,,8.0,4.0,16.0
cameraman,irregular,ae_only,31.207073339017526,0.9708095191470083,0.027519868686795235,0.0031907851807773113,16.482264397036243,0.14992939211082967,0.09470620006322861,1.1147363185882568,ok,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_combined.pt,,,,0.01,8.0,4.0,16.0
cameraman,irregular,tv_ae,33.074625090102884,0.9818418926707809,0.022195694968104362,0.0019186829449608922,18.349816566585947,0.12092307198756812,0.05694873258471489,1.1696386337280273,ok,D:\pythonProject\MMproject\results\ae_weights\cameraman_p8_d16_combined.pt,,,0.01,0.01,8.0,4.0,16.0
barbara,random10,corrupted,16.800083302155,0.31597115008101273,0.14454258978366852,0.04157666862010956,6.9193049460668234,0.45085278080698943,0.4045083820819855,0.0,ok,,,,,,,,
barbara,random10,dct,39.89193330717919,0.9785755934477557,0.010125193744897842,0.0022392927203327417,30.011154679136347,0.03158219175233085,0.021786563098430634,0.37725400924682617,ok,,0.01,,,,8.0,4.0,16.0
barbara,random10,wavelet,35.187542486508036,0.9828582831904457,0.017402950674295425,0.0023600617423653603,25.30676366472255,0.05428274694688979,0.022961551323533058,0.4569883346557617,ok,,,0.01,,,8.0,4.0,16.0
barbara,random10,tv,40.59607978769944,0.9941775584070313,0.00933675654232502,0.00142027554102242,30.71530106912636,0.0291229219665494,0.013818168081343174,0.38112354278564453,ok,,,,0.01,,8.0,4.0,16.0
